"","regspp","region","spp","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"43","AFSC_Aleutians_Oncorhynchusketa","AFSC_Aleutians","Oncorhynchusketa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-178.156333964468,NA,NA,-167.093845619594,NA,NA,NA,NA,-177.467302425177,NA,NA,-177.287760643623,NA,NA,-180.911366038375,NA,NA,-168.312987407407,NA,-173.107495953071,NA,-186.243007427638,NA,-168.595368170615,NA,NA,NA,-181.088056833529,NA
"44","AFSC_Aleutians_Oregoniagracilis","AFSC_Aleutians","Oregoniagracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-173.93251345993,NA,NA,-176.92357057278,NA,NA,NA,NA,-176.147053076992,NA,NA,-177.278286538299,NA,NA,-175.196791839235,NA,NA,-178.621924811636,NA,-176.022064083088,NA,-173.05784227733,NA,-174.256357366113,NA,NA,NA,-172.692055153353,NA
"45","AFSC_Aleutians_Pandalopsisdispar","AFSC_Aleutians","Pandalopsisdispar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-186.9975346075,NA,NA,-168.800487351896,NA,NA,NA,NA,-169.298402283369,NA,NA,-171.184572453752,NA,NA,-168.805812080587,NA,NA,-168.757609307073,NA,-170.325514048812,NA,-168.74084971804,NA,-169.020586850416,NA,NA,NA,-168.216511537986,NA
"46","AFSC_Aleutians_Pandaluseous(=borealis)","AFSC_Aleutians","Pandaluseous(=borealis)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-175.131169879037,NA,NA,-176.496300564953,NA,NA,NA,NA,-177.571765251814,NA,NA,-181.602038144058,NA,NA,-176.088093036255,NA,NA,-172.989965557797,NA,-177.501218970985,NA,-178.331208597298,NA,-174.693045078701,NA,NA,NA,-180.456222954824,NA
"47","AFSC_Aleutians_Paralithodescamtschaticus","AFSC_Aleutians","Paralithodescamtschaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-177.213049541764,NA,NA,-180.369173615266,NA,NA,NA,NA,-178.459521216065,NA,NA,-177.826240604891,NA,NA,-177.073513345678,NA,NA,-180.046388288484,NA,-180.283469245953,NA,-182.616870591326,NA,-170.586872080583,NA,NA,NA,-185.641950261006,NA
"48","AFSC_Aleutians_Placetronwosnessenskii","AFSC_Aleutians","Placetronwosnessenskii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-179.932206145358,NA,NA,-177.837329587783,NA,NA,NA,NA,-181.831183822205,NA,NA,-173.819190161429,NA,NA,-177.313845903498,NA,NA,-180.61838251213,NA,-179.447765376625,NA,-174.605851395845,NA,-180.634774162394,NA,NA,NA,-178.105236077264,NA
"49","AFSC_Aleutians_Pleurogrammusmonopterygius","AFSC_Aleutians","Pleurogrammusmonopterygius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-178.500304142666,NA,NA,-179.705856249729,NA,NA,NA,NA,-181.02263259455,NA,NA,-178.657181208383,NA,NA,-176.7186350546,NA,NA,-181.485638915549,NA,-178.971400651074,NA,-176.024783936854,NA,-175.520347030244,NA,NA,NA,-176.697440276699,NA
"50","AFSC_Aleutians_Podothecusaccipenserinus","AFSC_Aleutians","Podothecusaccipenserinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-178.654931915467,NA,NA,-178.128466009274,NA,NA,NA,NA,-184.577492362068,NA,NA,-181.784413797283,NA,NA,-184.05900756222,NA,NA,-170.349316289147,NA,-175.942422106748,NA,-178.699868258421,NA,-183.44316990907,NA,NA,NA,-178.427073389288,NA
"51","AFSC_Aleutians_Porifera","AFSC_Aleutians","Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-174.970869393758,NA,NA,-174.5588548043,NA,NA,NA,NA,-179.321350508809,NA,NA,-179.537122676337,NA,NA,-177.097133548091,NA,NA,-177.496432766731,NA,-176.795080974917,NA,-177.263329432744,NA,-176.337268813268,NA,NA,NA,-176.708937485043,NA
"52","AFSC_Aleutians_Rajabinoculata","AFSC_Aleutians","Rajabinoculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-173.318717270707,NA,NA,-167.558599907326,NA,NA,NA,NA,-166.782956796117,NA,NA,-171.224866223258,NA,NA,-166.661615975956,NA,NA,-168.116143679519,NA,-166.695649099801,NA,-166.61272969163,NA,-168.219259041526,NA,NA,NA,-169.082448607793,NA
"53","AFSC_Aleutians_Reinhardtiushippoglossoides","AFSC_Aleutians","Reinhardtiushippoglossoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-174.731655358712,NA,NA,-172.904256420713,NA,NA,NA,NA,-176.886806372798,NA,NA,-174.027532234757,NA,NA,-174.4445708104,NA,NA,-175.519295674793,NA,-174.620935986755,NA,-176.618543444809,NA,-174.271336480413,NA,NA,NA,-176.473159142816,NA
"54","AFSC_Aleutians_Rossiapacifica","AFSC_Aleutians","Rossiapacifica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-174.859133595756,NA,NA,-178.640234650775,NA,NA,NA,NA,-178.478972862079,NA,NA,-180.861031681243,NA,NA,-177.321474101074,NA,NA,-176.055387295479,NA,-179.958947948655,NA,-178.527914374831,NA,-178.011035121172,NA,NA,NA,-178.619068778779,NA
