"regspp","region","spp","year","spp.centroid.lat","spp.centroid.lon","spp.centroid.depth"
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1999",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2000",51.9524450157976,-179.402534382105,353.905758888252
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2001",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2002",52.1917393207941,-178.924118432521,360.104695013729
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2003",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2004",52.3840416289744,-176.380531718352,336.913976989403
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2005",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2006",52.1960523111063,-175.666465121922,316.540639489642
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2007",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2008",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2009",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2010",52.2033292389013,-180.705985072582,370.105801664742
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","2011",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1963",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1964",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1965",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1966",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1967",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1968",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1969",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1970",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1971",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1972",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1973",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1974",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1975",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1976",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1977",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1978",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1979",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1980",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1981",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1982",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1983",52.160971875,-175.351538333333,136.697916666667
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1984",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1985",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1986",51.5725591824629,-181.677487831888,199.292253999552
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1987",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1988",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1989",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1990",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1991",52.3404724003562,-174.067753360822,282.227055994218
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1992",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1993",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1994",52.2280960008075,-179.316277066809,158.534675505441
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1995",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1996",NA,NA,NA
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1997",52.0464446492529,-177.571248432583,208.097313176695
"AFSC_Aleutians_Aptocyclusventricosus","AFSC_Aleutians","Aptocyclusventricosus","1998",NA,NA,NA
